word_freq_1,word_freq_2,word_freq_3,word_freq_4,word_freq_5,word_freq_6,word_freq_7,word_freq_8,word_freq_9,word_freq_10,word_freq_11,word_freq_12,word_freq_13,word_freq_14,word_freq_15,word_freq_16,word_freq_17,word_freq_18,word_freq_19,word_freq_20,word_freq_21,word_freq_22,word_freq_23,word_freq_24,word_freq_25,word_freq_26,word_freq_27,word_freq_28,word_freq_29,word_freq_30,word_freq_31,word_freq_32,word_freq_33,word_freq_34,word_freq_35,word_freq_36,word_freq_37,word_freq_38,word_freq_39,word_freq_40,word_freq_41,word_freq_42,word_freq_43,word_freq_44,word_freq_45,word_freq_46,word_freq_47,word_freq_48,char_freq_1,char_freq_2,char_freq_3,char_freq_4,char_freq_5,char_freq_6,capital_run_length_average,capital_run_length_longest,capital_run_length_total,class
0.0,0.0,0.0,0.0,0.0,,0.96,0.0,0.0,,0.96,,0.0,0.0,0.0,0.0,0.0,0.96,3.84,,0.96,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.462,0.0,0.0,,,21.0,1
0.0,,0.25,0.0,0.38,,0.25,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.16,0.0,0.77,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.022,0.044,,0.663,0.0,0.0,1.243,,,1
0.0,0.69,0.34,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.34,,1.39,2.09,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,,0.786,0.0,,,61.0,,1
,,0.0,0.0,0.9,0.0,0.9,0.0,0.0,0.9,,0.0,0.9,,,0.0,,0.0,2.72,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083,,25.0,1
0.0,0.0,1.42,0.0,0.71,0.35,0.0,,0.0,,,0.35,0.0,,0.0,5.35,0.0,,3.21,0.0,2.85,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,1.971,,,1
0.0,0.42,0.42,0.0,1.27,0.0,0.42,,,1.27,0.0,,0.0,0.0,0.0,1.27,0.0,0.0,1.7,0.42,1.27,0.0,,0.42,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.063,0.0,0.572,,,5.659,55.0,249.0,1
0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,2.83,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,4.652,31.0,107.0,1
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,0.0,0.0,2.11,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,,1.975,0.37,0.0,35.461,,461.0,1
0.0,,0.55,0.0,1.11,0.0,0.18,0.0,,0.0,0.0,,0.92,0.0,,0.0,,0.37,3.15,0.0,0.92,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,,0.0,0.0,0.182,,,0.0,,1.32,,70.0,1
0.0,0.63,0.0,0.0,1.59,0.31,,0.0,,0.0,0.0,,0.0,0.0,1.27,,0.31,3.18,,,1.91,0.0,0.31,0.63,0.0,0.0,,0.31,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.055,,0.0,3.509,91.0,,1
0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.729,0.0,,0.0,,,,,1
,0.07,0.1,,0.76,,0.15,0.02,0.55,0.0,0.1,0.47,0.02,0.0,,0.0,,0.13,,0.1,1.57,0.0,0.05,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.101,0.016,0.25,,0.059,2.569,66.0,2259.0,1
0.0,0.0,,0.0,2.94,0.0,,0.0,0.0,,0.0,0.0,,0.0,,2.94,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.404,0.404,0.0,0.809,0.0,0.0,,12.0,34.0,1
0.0,0.0,,0.0,1.16,0.0,,0.0,0.0,0.0,,0.58,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.133,,0.667,0.0,0.0,1.131,,69.0,1
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.196,0.0,0.392,0.196,,,22.0,82.0,1
0.05,,,0.0,0.76,0.05,0.15,0.02,0.55,,0.1,0.47,,0.0,0.0,0.0,0.02,0.13,,0.1,1.57,0.0,0.05,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.042,0.101,0.016,0.25,0.046,0.059,2.565,66.0,2258.0,1
0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.44,0.0,0.0,0.0,,0.196,0.0,0.392,,0.0,5.466,22.0,,1
0.0,0.0,,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,,,,3.33,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.611,,47.0,1
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,3.33,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352,,,0.0,0.0,,,36.0,1
0.0,,,0.0,0.65,0.0,0.65,0.0,0.0,0.0,,,,0.0,0.0,0.65,,,1.3,5.22,1.3,0.0,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,0.091,0.0,0.0,2.687,66.0,129.0,1
1.17,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,1.17,0.0,3.52,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.886,0.0,0.0,1.966,,59.0,1
,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,3.03,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,,0.352,0.0,2.112,,0.0,,11.0,43.0,1
0.0,,,0.0,,0.27,,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.27,0.0,,3.51,,2.7,0.0,0.0,0.27,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.045,0.0,0.0,0.091,0.0,,11.0,,1
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.83,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.302,0.0,1.7,5.0,,1
0.0,,0.0,0.0,,0.0,0.0,,,0.68,,0.0,0.0,0.0,0.0,0.0,0.0,,2.04,0.0,0.68,0.0,0.0,,0.68,0.0,0.0,0.68,0.0,0.0,1.36,0.0,,0.0,0.68,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.185,,0.0,,3.826,30.0,264.0,1
,0.0,2.56,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.308,0.0,,0.0,0.0,,6.0,,1
,0.0,0.0,,2.94,0.0,,,,,,0.0,0.0,0.0,0.0,2.94,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.436,0.0,0.873,0.0,0.0,4.142,,29.0,1
0.0,0.0,0.48,,1.46,0.0,0.48,,0.0,,0.0,0.97,0.0,0.0,0.0,0.48,0.97,0.0,2.43,0.0,2.43,0.0,0.48,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.081,,,,0.0,5.431,78.0,239.0,1
0.0,0.48,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.97,0.0,0.0,0.0,0.48,,,1.46,0.0,0.97,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.963,,0.0,3.1,61.0,186.0,1
0.0,0.41,1.66,0.0,0.41,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.41,0.0,0.83,2.08,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.41,0.0,,0.0,0.0,0.068,,0.75,0.0,0.0,3.851,121.0,285.0,1
0.3,,0.0,,0.61,0.92,0.0,2.45,0.0,0.0,0.0,0.3,1.53,0.0,0.0,,0.0,0.3,2.76,0.0,0.61,0.0,,0.61,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.3,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.051,,0.207,0.207,0.0,,30.0,226.0,1
0.0,0.0,0.0,0.0,2.94,0.0,0.0,,0.0,,0.0,,0.0,,0.0,2.94,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.335,0.335,0.0,0.671,0.0,0.0,,12.0,28.0,1
,,,0.0,2.94,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.355,0.0,0.711,,,4.0,,28.0,1
0.0,0.0,0.55,0.0,1.11,0.0,0.18,0.0,,,0.0,0.18,0.92,,0.18,0.0,0.37,0.37,,0.0,0.92,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.182,0.0,0.426,,0.0,,4.0,68.0,1
0.0,0.0,0.0,,,0.0,0.26,0.52,0.0,0.26,0.26,0.52,0.0,0.0,0.0,,1.56,0.26,1.82,2.08,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.073,0.0,,0.036,0.147,2.145,,339.0,1
0.15,0.45,1.05,,,0.0,0.0,,0.6,,0.0,0.9,,0.0,0.3,0.0,0.0,0.0,4.07,0.0,1.51,0.0,0.0,0.3,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.15,0.0,0.0,,,,0.0,,0.068,0.0,5.301,,774.0,1
0.18,0.0,0.18,0.0,1.57,0.36,,,,0.12,0.06,0.54,0.3,,0.0,,0.72,,4.54,0.24,1.09,0.0,,0.06,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,,0.052,,0.01,,0.0,1.733,12.0,442.0,1
,0.0,,,0.0,0.99,0.0,0.0,,,0.99,,0.49,,0.0,4.97,,,3.48,0.0,1.99,0.0,0.49,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.34,0.0,0.17,0.0,0.0,,8.0,94.0,1
0.46,0.3,0.46,0.0,,0.12,0.05,0.28,0.43,0.74,0.25,0.97,0.56,1.23,0.0,,0.43,0.02,3.22,,,,1.05,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.065,0.0,0.325,0.756,0.153,,193.0,,1
0.46,,,0.0,0.0,0.33,,0.33,0.0,,0.39,0.73,0.79,0.0,,0.26,0.0,0.26,,0.0,0.66,0.0,,0.26,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.036,0.084,0.0,0.278,0.23,,3.887,40.0,,1
,1.92,0.0,,1.92,0.0,0.0,0.0,,,0.0,1.92,0.0,0.0,0.0,0.0,,,1.92,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.75,12.0,33.0,1
0.73,,1.09,0.0,0.0,0.73,0.73,1.09,0.36,,,0.36,,0.0,0.0,1.09,0.36,0.36,2.19,2.19,2.19,0.0,1.83,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.11,,0.498,,0.0,3.254,30.0,179.0,1
0.06,0.12,0.77,,,0.32,0.38,,0.06,0.0,0.0,0.64,0.25,0.0,0.12,0.0,0.0,0.12,,,0.7,0.0,0.19,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.06,,0.0,0.0,0.0,0.04,0.03,,0.244,0.071,0.0,,43.0,,1
,1.26,0.0,0.0,,1.26,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,1.26,0.0,,0.0,0.0,,,0.198,0.596,0.0,3.833,17.0,69.0,1
0.73,,0.73,,,,0.73,1.1,0.36,,,0.36,0.0,0.0,0.0,1.1,0.36,0.36,,2.2,2.2,,1.83,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.111,,,,,3.259,30.0,,1
0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.08,,2.17,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,30.0,,1
,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,1.04,,3.66,,2.09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.061,0.246,0.0,0.615,,,3.318,59.0,146.0,1
0.0,0.0,1.26,,,0.0,0.0,0.0,0.0,0.0,,2.53,0.0,0.0,0.0,,0.0,,,0.0,5.06,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.642,8.0,,1
0.0,0.45,0.45,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.45,,0.0,0.0,0.45,0.0,0.91,1.36,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.501,0.0,,2.777,61.0,200.0,1
0.0,0.42,1.68,0.0,0.42,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,,0.84,2.1,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.42,0.0,0.0,,0.0,0.066,,,0.0,0.0,3.837,121.0,284.0,1
0.0,0.59,,,0.0,,0.59,0.0,,0.59,,,0.0,0.0,0.0,0.0,0.0,,1.77,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.257,0.0,0.0,0.0,0.0,8.586,66.0,,1
,0.0,0.47,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,,0.23,0.23,0.0,7.1,0.0,1.89,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,,0.043,,0.175,0.0,0.0,1.294,11.0,66.0,1
0.0,0.0,0.46,0.0,1.39,,0.93,0.93,,0.0,0.46,0.93,,0.0,0.0,1.39,0.0,0.46,0.93,,0.46,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.46,,0.0,0.0,,0.0,,0.0,,0.0,,,,0.0,,,0.069,,8.0,75.0,1
0.0,,0.0,0.0,0.68,0.0,0.68,0.0,,0.34,0.34,,0.0,0.0,0.0,0.34,0.0,,3.42,,,0.0,,0.0,0.34,0.34,,,,0.0,0.0,,0.34,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,0.0,,15.0,96.0,1
,0.24,0.12,0.0,1.32,0.36,0.0,0.36,0.0,0.0,0.36,0.72,0.0,,0.0,,0.0,0.0,,0.0,3.01,0.0,0.12,0.0,0.0,0.0,0.0,,,0.0,,,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.019,0.019,,1.714,34.0,,1
0.66,,0.66,,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,,,1.98,1.32,,1.32,0.0,1.32,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,3.184,,121.0,1
0.0,0.48,,0.0,1.46,0.0,0.48,0.0,0.0,,0.48,0.0,0.0,0.0,,0.48,0.0,0.0,0.97,0.48,,,,0.48,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,0.48,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.073,,0.589,,,4.85,47.0,194.0,1
,0.0,0.0,,0.0,0.0,1.47,,0.0,1.47,0.0,,0.0,0.0,0.0,,0.0,0.0,5.88,0.0,1.47,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,,3.0,17.0,1
,0.0,0.61,0.0,0.0,,0.0,0.0,0.0,0.92,0.3,0.92,0.3,0.3,0.0,2.15,0.61,,5.53,,,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.3,0.0,0.0,0.0,0.0,0.1,0.0,1.053,0.351,,3.884,66.0,303.0,1
0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,1.96,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.201,0.0,0.0,0.1,0.0,4.548,,,1
